Ticker,mean_return,volatility,skewness,kurtosis,autocorr_1d,max_drawdown,beta_sector,beta_market,idio_vol,sub_industry
XOM,-0.027224748782152395,0.18909969562937495,-0.13210045505831125,2.4937518619630232,0.0018356189950151207,-0.3300987811616562,0.669453097580446,0.18193362281223613,0.10057555489163297,integrated_major
CVX,0.03732401494248431,0.21862465510525866,-0.0466090833787052,2.1553705600505166,0.016401497221453527,-0.470037998797233,0.8643122900373761,0.06092320028098543,0.10871233279604381,integrated_major
COP,-0.008253669022125517,0.3096416688601891,0.03236384234860675,2.3703336636341277,-0.009717656298842397,-0.6438583272977416,1.3310433678425557,-0.22916929665930796,0.1629307334667592,integrated_major
EOG,-0.033196806521603436,0.3174880184426069,0.03438938340441234,1.7251131824694728,-0.017021434256986333,-0.5633670631278913,1.4300467808246486,-0.35037252831290067,0.15966337862146557,upstream
OXY,-0.10394145093252814,0.25325888506293703,-0.22459711189103163,1.9354097112633841,-0.034360532873411766,-0.6028735470135133,1.0001911623999384,-0.10747304603532633,0.15092772454415002,upstream
DVN,-0.173364102052279,0.427571550189676,0.07950868785297842,2.5888748346832537,-0.022891895001009178,-0.8373358290235147,1.854159275550743,-0.43844489094868955,0.23518898841800373,upstream
FANG,0.03752836538924279,0.38665903178659633,-0.3835881316423375,3.1820664266185705,-0.019350325316799876,-0.5170534058040691,1.4794185900598025,-0.3203931671350551,0.258761209093244,upstream
AR,-0.551450959258782,0.4753501805064252,0.2293564221818609,2.6232184284833746,-0.015014972944540992,-0.9836246233428814,1.5094509513063976,-0.527998592416042,0.38573670695887446,upstream_gas
EQT,-0.2942290710712955,0.38615369473472266,-0.10710794608170034,2.5285781003771266,-0.03951472700481107,-0.9044117427899533,0.9887635606777079,0.01203576491424246,0.3229103869108941,upstream_gas
VLO,0.1252251642692322,0.2866156212838787,-0.5761433124802239,3.121777608615248,-0.0307505109377497,-0.4533714673398343,0.4138453655462592,0.6860846822222688,0.23461187889468973,refiner
MPC,0.08167961294660407,0.328438217464659,-0.25459376436122877,2.2101030063125444,0.007713313637278216,-0.5016359129618038,0.6217774236870077,0.6790542354753554,0.2564707211518565,refiner
PSX,0.07810556742325162,0.2399211443735979,-0.4239322144318688,2.4869487112505926,0.028547314085314746,-0.36577764423307724,0.6392037009275797,0.4106672475982485,0.16076263036277696,refiner
DINO,0.042236501950241215,0.36461780562408946,-0.045578555881349334,2.298752937494136,-0.05506772071283102,-0.6103433766855141,0.6829094406874385,0.47256740227845295,0.30863640588372493,refiner
KMI,-0.043951721115735656,0.29489851306369336,0.22483400934687844,7.771005158226413,0.03588603765666049,-0.7380339051415357,0.8896926077073809,0.1074550854985506,0.21710158864907902,midstream
WMB,-0.06406116511222798,0.45556200062212926,-1.4159370251769468,51.82043613782254,0.0017034923920560016,-0.8660429985369549,1.0729221496165322,0.2557227822628497,0.3787204764499211,midstream
OKE,0.08287127325821024,0.3338631517756925,-0.2013398650872078,6.283295005356837,0.06591458990768899,-0.7459185108927845,1.1369139271912485,-0.04590279327710487,0.2341994999772042,midstream
EPD,0.0034065894632801584,0.2613842501665045,0.03125273366297865,4.490856589054538,0.07089295544274876,-0.5320926787247547,0.757817008400762,0.09846700549974595,0.19796767762245532,midstream
ET,-0.05875151823995258,0.5277864005707079,-2.5208169824365503,59.36206652412943,0.07846398133049046,-0.9261669928177795,1.144504279245177,0.27029279871005507,0.45355928755795505,midstream
SLB,-0.1386936048161376,0.26252941707474325,0.12191373247189843,1.6417579051172124,0.05826829153406465,-0.7433309719737249,1.0607227751452266,-0.1224267879047306,0.1507298312105682,services
HAL,-0.1557904447337967,0.327702613993802,-0.10235575707278657,2.961867844179623,0.06634927706891003,-0.80495783452877,1.3179444171658605,-0.18941542899859146,0.19430301022717253,services
BKR,-0.09837586774960445,0.33925166395652945,0.04805062265315419,2.9965832704864797,0.011874960843563773,-0.679253165422288,1.1294986307920343,-0.10063294810098156,0.2479707991656825,services
NOV,-0.17676874065944964,0.35570827896856844,0.0719085138095083,2.774332827717676,-0.013170740475006264,-0.8315443285895422,1.2397032691480665,-0.1939667519485393,0.2560335707712442,services
