Date,AR,WMB,VLO,SPY,SLB,PSX,OXY,OKE,NOV,MPC,KMI,HAL,FANG,ET,EQT,EPD,EOG,DVN,DINO,CVX,COP,BKR,XLE,XOM
2014-06-02,61.810001373291016,24.23225975036621,36.23210525512695,157.37831115722656,75.22177124023438,55.789913177490234,66.8545913696289,31.13224220275879,61.35478591918945,31.523435592651367,18.50496482849121,52.042903900146484,58.50517272949219,10.266610145568848,52.41938400268555,16.860336303710938,75.5308837890625,49.379417419433594,32.27007293701172,74.1530990600586,54.25716018676758,37.1738166809082,30.094560623168945,61.07058334350586
2014-06-03,63.04999923706055,24.185771942138672,35.520408630371094,157.2966766357422,75.1783218383789,55.33173370361328,67.17626190185547,31.141902923583984,62.86820983886719,30.950716018676758,18.559850692749023,52.49119186401367,60.18863296508789,10.195048332214355,52.89754867553711,16.802467346191406,76.44829559326172,50.05620574951172,31.688337326049805,74.35938262939453,54.48927688598633,37.126426696777344,30.198884963989258,61.345550537109375
2014-06-04,64.05999755859375,24.227092742919922,34.975425720214844,157.6148681640625,75.08422088623047,54.78194808959961,67.12265014648438,31.368894577026367,63.1080207824707,30.86288070678711,18.686065673828125,52.347110748291016,60.37311935424805,10.379910469055176,53.03701400756836,16.7935733795166,76.24044799804688,50.17012405395508,31.523836135864258,74.2380142211914,54.475616455078125,37.005313873291016,30.183076858520508,61.13167190551758
2014-06-05,63.52000045776367,24.47504425048828,35.674293518066406,158.64283752441406,75.22177124023438,54.66413879394531,67.61856079101562,31.658679962158203,63.05839920043945,30.883953094482422,18.998872756958008,52.74736785888672,60.911197662353516,10.658191680908203,53.07686996459961,16.78466796875,77.3370590209961,50.11652374267578,31.629114151000977,74.9479751586914,54.64628982543945,37.331783294677734,30.356985092163086,61.44333267211914
2014-06-06,63.43000030517578,24.655845642089844,35.40502166748047,159.4015655517578,76.72750854492188,55.21393966674805,67.75357055664062,31.822887420654297,63.794429779052734,30.810182571411133,19.25131607055664,53.61995315551758,62.33327865600586,10.787393569946289,52.99217987060547,16.742385864257812,78.3548583984375,50.03610610961914,31.392230987548828,75.35448455810547,55.18557357788086,37.910980224609375,30.606735229492188,62.0849494934082
2014-06-09,62.2599983215332,24.671340942382812,35.16136169433594,159.56471252441406,77.2559814453125,54.80160903930664,67.62528228759766,31.721466064453125,64.5552749633789,30.74342155456543,19.240341186523438,53.772064208984375,63.032772064208984,10.890755653381348,52.16535568237305,16.680070877075195,78.49104309082031,49.888694763183594,31.25406837463379,75.46371459960938,55.19240951538086,37.77932357788086,30.654159545898438,62.03607177734375
2014-06-10,60.95000076293945,24.60936164855957,34.17396545410156,159.58106994628906,77.118408203125,54.212520599365234,67.48357391357422,31.518619537353516,64.88607025146484,30.107473373413086,19.24582290649414,53.72402572631836,63.28643798828125,10.719813346862793,51.124332427978516,16.713449478149414,77.90330505371094,50.2170295715332,30.628984451293945,76.05226135253906,55.724853515625,37.56346130371094,30.60357666015625,61.9994010925293
2014-06-11,61.29999923706055,24.382617950439453,34.10344696044922,159.02626037597656,77.12567138671875,54.251808166503906,67.4228515625,31.281959533691406,63.53843307495117,30.107473373413086,19.15253257751465,53.58792495727539,64.44715881347656,10.532963752746582,51.228939056396484,16.56656837463379,79.34397888183594,51.373294830322266,30.92506980895996,75.9552001953125,55.943321228027344,37.35284423828125,30.720544815063477,62.298828125
2014-06-12,62.0,24.419113159179688,34.500946044921875,157.900390625,76.97364044189453,54.192928314208984,68.34077453613281,31.209516525268555,64.10411834716797,30.44477081298828,19.15802764892578,53.34777069091797,65.1005630493164,10.507125854492188,52.11553955078125,16.497577667236328,80.01055145263672,51.76319885253906,31.333030700683594,76.51949310302734,56.56452560424805,37.100101470947266,30.82171630859375,62.121620178222656
2014-06-13,61.97999954223633,24.591110229492188,34.45607376098633,158.38172912597656,78.36355590820312,54.644508361816406,69.6772232055664,31.465490341186523,64.5033950805664,30.363962173461914,19.31167984008789,54.10028839111328,67.60647583007812,10.41767692565918,52.72321701049805,16.624431610107422,81.72358703613281,52.46235275268555,31.069833755493164,77.21729278564453,56.7147102355957,37.463409423828125,31.11574363708496,62.72657775878906
2014-06-16,62.38999938964844,29.198684692382812,34.20602035522461,158.51229858398438,77.49485778808594,54.611785888671875,69.75821685791016,31.547597885131836,64.75296020507812,30.170724868774414,19.41594886779785,54.12430953979492,69.10545349121094,10.697945594787598,53.012115478515625,16.67116355895996,81.73072052001953,52.59007263183594,31.56989097595215,77.99394226074219,57.131126403808594,37.27912902832031,31.302268981933594,62.89156723022461
2014-06-17,63.5,29.871061325073242,34.69330596923828,158.95285034179688,76.80709838867188,55.02412796020508,69.34647369384766,31.156387329101562,64.81949615478516,30.420167922973633,19.190950393676758,54.12430953979492,69.38217163085938,10.78143310546875,53.4703483581543,16.646690368652344,80.55525970458984,52.51612854003906,31.879148483276367,78.1698989868164,57.17207336425781,37.5687255859375,31.280139923095703,62.58603286743164
2014-06-18,63.790000915527344,29.891904830932617,35.674293518066406,160.1195068359375,77.51654052734375,55.305564880371094,69.69073486328125,31.093605041503906,64.861083984375,31.143962860107422,19.24582290649414,54.836769104003906,69.44368743896484,10.699934005737305,53.84890365600586,16.45529556274414,81.3795394897461,52.51612854003906,32.20814514160156,79.04971313476562,57.506561279296875,38.158447265625,31.517257690429688,62.77547073364258
2014-06-19,64.76000213623047,30.194215774536133,36.603973388671875,160.29901123046875,77.89297485351562,55.80298614501953,69.75821685791016,31.13224220275879,65.11067199707031,31.4882869720459,19.426921844482422,55.221046447753906,68.45207214355469,10.678069114685059,54.02322769165039,16.695646286010742,82.9993896484375,52.76486587524414,32.68844985961914,80.08731079101562,57.8683967590332,38.437522888183594,31.741727828979492,62.714359283447266
2014-06-20,64.51000213623047,30.053491592407227,36.7770881652832,160.62451171875,78.78340911865234,56.248069763183594,70.19695281982422,32.040218353271484,66.20044708251953,31.484771728515625,19.77265739440918,56.229698181152344,69.0208740234375,10.85497760772705,54.55619812011719,16.78244400024414,84.5618667602539,53.07407760620117,32.65557861328125,80.29964447021484,58.271156311035156,39.29578399658203,32.057437896728516,63.44764709472656
2014-06-23,64.58000183105469,30.678943634033203,36.74504089355469,160.57528686523438,78.83409118652344,56.50331115722656,71.00016784667969,32.36863708496094,66.85760498046875,31.263425827026367,19.761682510375977,56.333778381347656,70.26618957519531,10.91063404083252,54.312129974365234,16.97606086730957,84.15335083007812,53.02031707763672,32.905601501464844,80.68795013427734,58.77631378173828,38.80083084106445,32.17178726196289,63.78373718261719
2014-06-24,63.34000015258789,29.975299835205078,35.89870071411133,159.60794067382812,77.44416809082031,55.59354782104492,68.47575378417969,32.42177200317383,66.1671142578125,30.374500274658203,19.81655502319336,54.56459426879883,67.40663146972656,10.799320220947266,53.61978530883789,16.93822479248047,81.00680541992188,52.14637756347656,32.22129821777344,79.95379638671875,57.88888931274414,37.62138366699219,31.495243072509766,62.77547073364258
2014-06-25,63.650001525878906,30.22549057006836,32.92369842529297,160.32931518554688,82.41747283935547,53.25041198730469,69.26549530029297,32.85160446166992,67.21533203125,28.44906997680664,19.739728927612305,55.58927917480469,69.61277770996094,11.560620307922363,53.24123001098633,17.16745376586914,83.15706634521484,53.41693115234375,30.0631103515625,79.62613677978516,58.44864273071289,38.3585319519043,31.733457565307617,62.41493225097656
2014-06-26,64.56999969482422,30.282812118530273,33.51356887817383,160.2145538330078,84.06076049804688,53.7347526550293,69.27899932861328,32.65842056274414,67.34009552001953,28.435035705566406,19.75619125366211,55.67734146118164,68.63655853271484,11.526824951171875,53.79910659790039,17.24756622314453,82.72701263427734,52.83881378173828,29.924942016601562,79.43804168701172,58.680747985839844,38.49016571044922,31.768386840820312,62.34770965576172
